会社名,銘柄コード,業種,優先市場,決算月,会計基準,都道府県,時価総額,PBR,売上高,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,PER(会予),負債,流動負債,流動資産,総負債,現金及び現金同等物,投資有価証券,ネットキャッシュ,ネットキャッシュ比率
マツモト,7901,その他製品,スタンダード（内国株式）,2025-04-30,,Kitakyushu,1057343104.0,1.4976541,2169091000.0,-265190000.0,-0.36387002,-653358000.0,-0.29173002,-0.62059,0.395652449093493,,1260420000.0,718047000.0,605736000.0,348324000.0,219842000.0,247950000.0,-128482000.0,-0.1215140095149284
ソノコム,7902,その他製品,スタンダード（内国株式）,2025-03-31,,Tokyo,3410150912.0,0.3830769,2423114000.0,201970000.0,0.10731,210719000.0,0.08167,0.022950001,0.9354385066147092,,614996000.0,377123000.0,5067927000.0,0.0,3767450000.0,2285377000.0,3767450000.0,1.104775154302614
ヨネックス,7906,その他製品,スタンダード（内国株式）,2025-03-31,,Tokyo,331946328064.0,4.6669865,138276000000.0,14180000000.0,0.15749,10591000000.0,0.08181,0.17809999,0.6316783963633377,31.348341,40125000000.0,24931000000.0,73216000000.0,11206000000.0,29478000000.0,276000000.0,18272000000.0,0.0550450432953038
きもと,7908,化学,スタンダード（内国株式）,2025-03-31,,Saitama,11635389440.0,0.6169017,11294000000.0,1341000000.0,0.11554,989000000.0,0.07456,0.044899996,0.8172350950273366,,4212000000.0,2572000000.0,16901000000.0,,12885000000.0,1185000000.0,,
ＴＯＰＰＡＮホールディングス,7911,その他製品,プライム（内国株式）,2025-03-31,,Tokyo,1121389772800.0,0.88260454,1717960000000.0,84093000000.0,0.03408,89348000000.0,0.05185,0.06712,0.51431898777259,14.618263,1096481000000.0,822884000000.0,1406905000000.0,467596000000.0,768989000000.0,310633000000.0,301393000000.0,0.2687673878525317
大日本印刷,7912,その他製品,プライム（内国株式）,2025-03-31,,Tokyo,1143117840384.0,1.004089,1457609000000.0,93612000000.0,0.06276,110682000000.0,0.06321,0.07754,0.592253360294248,12.963623,709062000000.0,435780000000.0,824692000000.0,175759000000.0,254995000000.0,393125000000.0,79236000000.0,0.0693156883750347
共同印刷,7914,その他製品,プライム（内国株式）,2025-03-31,,Tokyo,43755679744.0,0.6886287,99977000000.0,2336000000.0,0.0191,3310000000.0,0.040409997,0.06309,0.4984782195168347,,63256000000.0,26262000000.0,47780000000.0,13015000000.0,12254000000.0,17501000000.0,-761000000.0,-0.017392027833926
ＮＩＳＳＨＡ,7915,その他製品,プライム（内国株式）,2024-12-31,,Kyoto,67609538560.0,0.62124556,195598000000.0,5818000000.0,0.025799999,3862000000.0,-0.00193,-0.00059999997,0.4552476274025042,9.724208,135260000000.0,63982000000.0,128627000000.0,72783000000.0,50970000000.0,8132000000.0,-21813000000.0,-0.3226319904645123
光村印刷,7916,その他製品,スタンダード（内国株式）,2025-03-31,,Shinagawa,4781758464.0,0.27192256,14756503000.0,-158794000.0,-0.029849999,70563000.0,0.011030001,0.0095999995,0.6340731435456191,,9944576000.0,5381532000.0,10377351000.0,3552541000.0,4145913000.0,5158886000.0,593372000.0,0.1240907512303825
ＺＡＣＲＯＳ,7917,化学,プライム（内国株式）,2025-03-31,,Tokyo,77088980992.0,0.8513366,150735000000.0,10117000000.0,0.08805,6530000000.0,0.04325,0.07598,0.597689798994322,11.194325,53234000000.0,42566000000.0,86783000000.0,4669000000.0,14986000000.0,2667000000.0,10317000000.0,0.133832356677158
