会社名,銘柄コード,業種,優先市場,決算月,都道府県,時価総額,PBR,売上高,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,PER(会予),負債,流動負債,流動資産,総負債,現金及び現金同等物,投資有価証券,ネットキャッシュ,ネットキャッシュ比率
極洋,1301,水産・農林業,プライム（内国株式）,2025-03-31,東京都,57664671744,0.8442603,302681000000.0,11080000000.0,0.03432,6740000000.0,0.0,,0.3652267498366435,16.892832,113763000000.0,74995000000.0,134258000000.0,79916000000.0,7514000000.0,14053000000.0,30332100000.0,0.526008370162205
Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,130A,医薬品,グロース（内国株式）,2024-12-31,東京都,4456647168,2.2007027,194643000.0,-212850000.0,-5.45098,-236442000.0,-2.7095098,,0.9824758843873473,,39410000.0,39410000.0,2232073000.0,,2173358000.0,,2192663000.0,0.4919983380654288
ニッスイ,1332,水産・農林業,プライム（内国株式）,2025-03-31,東京都,311232888832,1.178232,886126000000.0,31783000000.0,0.0456,25381000000.0,0.027520001,0.097279996,0.4363657269585653,11.561409,348939000000.0,226179000000.0,332568000000.0,215270000000.0,14707000000.0,30453000000.0,4946100000.0,0.01589195800791429
マルハニチロ,1333,水産・農林業,プライム（内国株式）,2025-03-31,東京都,169642786816,0.7489911,1078631000000.0,30382000000.0,0.03577,23264000000.0,0.0214,0.11533,0.33699984292678775,12.84026,405816000000.0,236915000000.0,414576000000.0,270911000000.0,49240000000.0,44671000000.0,40029700000.0,0.23596464518952695
ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,135A,情報・通信業,グロース（内国株式）,2025-02-28,東京都,25962479616,20.410759,2144641000.0,594987000.0,-1.1743599,425072000.0,0.118090004,,0.7590650897301636,,451393000.0,451393000.0,1539832000.0,5200000.0,488886000.0,,1088439000.0,0.04192353797089641
ユキグニファクトリー,1375,水産・農林業,プライム（内国株式）,2025-03-31,新潟県,41867735040,3.7272108,53139000000.0,2420000000.0,-0.09883001,1502000000.0,0.026099999,0.08529,0.32655540297876834,6.64557,25343000000.0,9502000000.0,11501000000.0,17159000000.0,3903000000.0,186000000.0,-13711800000.0,-0.327502789126278
カネコ種苗,1376,水産・農林業,スタンダード（内国株式）,2025-05-31,群馬県,16635901952,0.66509026,64508666000.0,1511651000.0,0.049050003,1200256000.0,0.0186,0.04853,0.5071656318283071,,24306507000.0,22983956000.0,38277060000.0,,1934582000.0,2264370000.0,15555612000.0,0.9350627362966559
サカタのタネ,1377,水産・農林業,プライム（内国株式）,2025-05-31,神奈川県,153221529600,0.949154,92920000000.0,12258000000.0,0.12376001,9711000000.0,0.10451,0.060549997,0.844585466997581,16.781227,29220000000.0,20037000000.0,113848000000.0,2868000000.0,29525000000.0,18464000000.0,97552800000.0,0.6366781499615052
ホクト,1379,水産・農林業,プライム（内国株式）,2025-03-31,長野県,58133278720,1.0048147,83104000000.0,6628000000.0,0.00956,4441000000.0,0.06201,0.093100004,0.5278479836461625,,50813000000.0,24823000000.0,38621000000.0,33066000000.0,16323000000.0,8374000000.0,-6330200000.0,-0.10889115734361937
Ｃｏｃｏｌｉｖｅ,137A,情報・通信業,グロース（内国株式）,2025-05-31,,4110518272,11.114108,1301771000.0,279617000.0,,209170000.0,,,0.8409387789823908,,168282000.0,168279000.0,1020383000.0,,,,852101000.0,0.20729770399132774
秋川牧園,1380,水産・農林業,スタンダード（内国株式）,2025-03-31,山口県,4219149312,1.9771109,7957457000.0,-3198000.0,0.00243,28185000.0,0.0076099997,0.029140001,0.30618201423382474,,4939245000.0,2688933000.0,2933981000.0,3422129000.0,968035000.0,118784000.0,-1922115200.0,-0.45556937142119325
アクシーズ,1381,水産・農林業,スタンダード（内国株式）,2025-06-30,,17296402432,0.8007593,26426000000.0,2121000000.0,0.11847,1720000000.0,0.06509,0.08128,0.8613758723828514,,3476000000.0,2945000000.0,13081000000.0,69000000.0,7743000000.0,631000000.0,10046700000.0,0.5808548939294245
ホーブ,1382,水産・農林業,スタンダード（内国株式）,2024-06-30,北海道,1845555456,2.4411056,2519019000.0,32705000.0,-0.06702,20012000.0,0.00995,0.03148,0.684833811158508,,354197000.0,205032000.0,984893000.0,8012000.0,351517000.0,,630696000.0,0.3417377667788705
ベルグアース,1383,水産・農林業,スタンダード（内国株式）,2024-10-31,愛媛県,4865234432,2.4435375,7094887000.0,22459000.0,0.00691,39936000.0,0.00151,0.0098,0.3640227838875453,,3557188000.0,1972654000.0,2821698000.0,2167386000.0,924359000.0,157408000.0,-625304400.0,-0.1285250297266662
ホクリヨウ,1384,水産・農林業,スタンダード（内国株式）,2025-03-31,北海道,19717738496,1.9914975,19397000000.0,1932000000.0,0.14823,2181000000.0,0.07208,0.11241999,0.7364696086594504,,5064000000.0,3555000000.0,6795000000.0,1519000000.0,4194000000.0,530000000.0,2102000000.0,0.10660451757316987
光フードサービス,138A,小売業,グロース（内国株式）,2024-11-30,愛知県,2872832000,2.2166636,2566847000.0,217082000.0,0.092650004,100327000.0,0.041160002,,0.5178734835211373,,1161221000.0,519436000.0,1502113000.0,749016000.0,1321909000.0,,340892000.0,0.11866061085368027
エムビーエス,1401,建設業,グロース（内国株式）,2025-05-31,山口県,9317386240,2.5811002,4713000000.0,626045000.0,0.14616,472287000.0,0.100150004,0.1317,0.7577554803440234,,1181763000.0,1169950000.0,3290133000.0,10775000.0,1827413000.0,712307000.0,2606984900.0,0.27979787816545426
ウエストホールディングス,1407,建設業,スタンダード（内国株式）,2024-08-31,東京都,74996236288,2.3828695,50390000000.0,10598000000.0,0.08173,6757000000.0,0.11567,0.16892,0.2639300380469749,7.149068,92501000000.0,34507000000.0,76518000000.0,75335000000.0,27676000000.0,1742000000.0,-14763600000.0,-0.19685787888481404
